name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-52.151,0.31063,6.85055,-64.5758,-51.504,-41.6713,486.366,308.288,1.0055399999999999
beta,0.922383,0.00606557,0.26002,0.48950299999999997,0.927248,1.33343,1837.69,1164.84,1.00314
alpha[1],0.963558,0.0137088,0.6802199999999999,-0.15125,0.9779180000000001,2.072,2462.06,1560.6,1.00001
alpha[2],0.328376,0.010390799999999999,0.6362260000000001,-0.722396,0.332363,1.3766200000000002,3749.1,2376.4,0.999461
alpha[3],0.40665,0.0111336,0.65355,-0.660449,0.422756,1.4588299999999998,3445.8,2184.15,1.0001200000000001
alpha[4],-0.18975999999999998,0.0106103,0.667848,-1.25197,-0.20133900000000002,0.919911,3961.88,2511.28,1.00001
alpha[5],0.48099,0.00978237,0.637804,-0.537032,0.48407100000000003,1.5287,4250.95,2694.5,1.00015
alpha[6],0.593381,0.012968200000000001,0.703437,-0.5777180000000001,0.625232,1.69475,2942.34,1865.03,1.0028299999999999
alpha[7],-0.719431,0.0138848,0.725327,-1.9516099999999998,-0.691797,0.403401,2728.91,1729.74,1.0028700000000002
alpha[8],-0.17736,0.010942200000000001,0.6684939999999999,-1.25882,-0.18693099999999999,0.9265190000000001,3732.41,2365.82,0.99924
alpha[9],-0.0307851,0.0102714,0.647105,-1.0717,-0.0296987,1.02567,3969.06,2515.82,0.999367
alpha[10],0.586947,0.0107037,0.638865,-0.464742,0.591781,1.62461,3562.45,2258.09,0.9997010000000001
alpha[11],0.0647322,0.0100491,0.65335,-1.03389,0.0705732,1.09889,4227.06,2679.36,1.0009299999999999
alpha[12],-0.758744,0.0118208,0.727309,-1.92885,-0.771573,0.456474,3785.67,2399.58,1.00042
alpha[13],-0.000841293,0.00997341,0.638196,-1.02383,-0.016355500000000002,1.08549,4094.69,2595.46,0.999834
alpha[14],-0.359177,0.00994326,0.65789,-1.44579,-0.35068499999999997,0.7197640000000001,4377.74,2774.87,1.00048
alpha[15],-1.31356,0.0161493,0.770512,-2.48732,-1.35625,-0.011135899999999999,2276.41,1442.92,1.00187
alpha[16],0.960559,0.0102047,0.67393,-0.10658699999999999,0.947263,2.07933,4361.43,2764.53,1.00014
alpha[17],-0.293194,0.0108116,0.69989,-1.41714,-0.313833,0.881597,4190.62,2656.27,0.999659
alpha[18],0.16109,0.0101632,0.665033,-0.9405370000000001,0.166251,1.2364,4281.77,2714.04,1.00061
alpha[19],-0.598962,0.0127825,0.734459,-1.7674299999999998,-0.613436,0.615969,3301.46,2092.66,0.9997889999999999
alpha[20],-1.23185,0.0141799,0.766942,-2.41532,-1.26078,0.06060419999999999,2925.35,1854.26,1.00061
