date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2019-06-07,352,FIFA Women's World Cup Final,France Women,South Korea Women,95.32,80.76,0.6945,0.114,0.1915,1.9,0.61,4,0,1.68,0.36,2.29,0.04,3.83,0.0
2019-06-08,352,FIFA Women's World Cup Final,Germany Women,China Women,94.17,82.1,0.5993,0.1765,0.2243,1.67,0.78,1,0,0.82,0.63,1.08,0.59,1.05,0.0
2019-06-08,352,FIFA Women's World Cup Final,Spain Women,South Africa Women,83.58,61.51,0.5921,0.1303,0.2776,1.27,0.43,3,1,3.33,0.5,3.42,0.12,2.34,1.05
2019-06-08,352,FIFA Women's World Cup Final,Norway Women,Nigeria Women,82.91,70.9,0.5195,0.2176,0.2629,1.35,0.76,3,0,0.67,0.65,1.22,0.82,3.15,0.0
2019-06-09,352,FIFA Women's World Cup Final,Australia Women,Italy Women,93.13,71.11,0.7425,0.1145,0.143,2.63,0.95,1,2,2.52,0.79,1.74,0.57,1.05,2.1
2019-06-09,352,FIFA Women's World Cup Final,Brazil Women,Jamaica Women,89.12,59.78,0.8027,0.0803,0.117,2.92,0.85,3,0,3.73,0.94,1.9,0.7,3.15,0.0
2019-06-09,352,FIFA Women's World Cup Final,England Women,Scotland Women,92.7,50.75,0.8787,0.0263,0.0949,2.64,0.3,2,1,2.13,0.35,2.23,0.39,2.1,1.05
2019-06-10,352,FIFA Women's World Cup Final,Argentina Women,Japan Women,37.09,92.29,0.0161,0.9331,0.0508,0.38,3.58,0,0,0.16,0.42,0.2,1.01,0.0,0.0
2019-06-10,352,FIFA Women's World Cup Final,Canada Women,Cameroon Women,92.23,62.53,0.7367,0.0793,0.184,1.87,0.44,1,0,1.25,0.4,1.77,0.48,1.05,0.0
2019-06-11,352,FIFA Women's World Cup Final,New Zealand Women,Netherlands Women,82.98,92.71,0.2,0.5818,0.2182,0.92,1.74,0,1,0.31,2.46,0.57,2.94,0.0,1.05
2019-06-11,352,FIFA Women's World Cup Final,Chile Women,Sweden Women,48.96,85.88,0.0373,0.8224,0.1403,0.27,2.12,0,2,0.19,2.49,0.27,2.27,0.0,1.58
2019-06-11,352,FIFA Women's World Cup Final,USA Women,Thailand Women,97.21,50.43,0.951,0.0117,0.0373,4.01,0.4,13,0,7.07,0.04,6.14,0.08,11.73,0.0
2019-06-12,352,FIFA Women's World Cup Final,Nigeria Women,South Korea Women,69.3,78.28,0.2774,0.4546,0.268,0.92,1.26,2,0,0.95,0.82,1.45,1.99,1.99,0.0
2019-06-12,352,FIFA Women's World Cup Final,Germany Women,Spain Women,93.86,86.53,0.5155,0.2396,0.2449,1.48,0.92,1,0,1.83,0.97,1.08,1.56,1.05,0.0
2019-06-12,352,FIFA Women's World Cup Final,France Women,Norway Women,96.09,84.06,0.6494,0.1356,0.215,1.71,0.63,2,1,2.15,0.27,1.82,0.53,2.1,1.05
2019-06-13,352,FIFA Women's World Cup Final,Australia Women,Brazil Women,92.44,89.7,0.429,0.3428,0.2282,1.55,1.37,3,2,1.19,1.5,1.5,0.7,3.15,2.1
2019-06-13,352,FIFA Women's World Cup Final,South Africa Women,China Women,58.24,81.9,0.1426,0.5927,0.2648,0.5,1.34,0,1,0.26,1.27,0.21,1.57,0.0,1.05
2019-06-14,352,FIFA Women's World Cup Final,Japan Women,Scotland Women,90.91,52.41,0.8327,0.0542,0.1131,2.68,0.55,2,1,2.82,0.79,2.16,0.96,2.1,1.05
2019-06-14,352,FIFA Women's World Cup Final,Jamaica Women,Italy Women,58.14,72.46,0.2418,0.5736,0.1846,1.43,2.26,0,5,0.44,3.86,1.23,1.79,0.0,4.96
2019-06-14,352,FIFA Women's World Cup Final,England Women,Argentina Women,92.14,39.07,0.9155,0.0136,0.0709,2.86,0.2,1,0,3.17,0.03,2.15,0.23,1.05,0.0
2019-06-15,352,FIFA Women's World Cup Final,Netherlands Women,Cameroon Women,93.62,62.68,0.8178,0.0421,0.14,2.15,0.31,3,1,1.45,1.01,1.05,0.86,2.78,1.05
2019-06-15,352,FIFA Women's World Cup Final,Canada Women,New Zealand Women,91.94,80.85,0.5737,0.1902,0.2361,1.56,0.78,2,0,3.61,0.18,2.25,0.45,1.87,0.0
2019-06-16,352,FIFA Women's World Cup Final,Sweden Women,Thailand Women,86.47,43.51,0.866,0.0254,0.1085,2.41,0.24,5,1,5.05,0.45,4.84,0.31,4.46,1.05
2019-06-16,352,FIFA Women's World Cup Final,USA Women,Chile Women,98.33,47.61,0.9718,0.0054,0.0228,4.42,0.29,3,0,3.55,0.01,3.08,0.0,3.15,0.0
2019-06-17,352,FIFA Women's World Cup Final,China Women,Spain Women,82.67,86.53,0.2898,0.4182,0.2919,0.85,1.08,0,0,0.05,1.81,0.31,2.74,0.0,0.0
2019-06-17,352,FIFA Women's World Cup Final,South Africa Women,Germany Women,56.69,93.77,0.026,0.8499,0.124,0.21,2.21,0,4,0.58,5.36,0.52,2.15,0.0,4.2
2019-06-17,352,FIFA Women's World Cup Final,Nigeria Women,France Women,71.65,96.3,0.0346,0.837,0.1284,0.28,2.24,0,1,0.03,3.45,0.12,2.54,0.0,0.84
2019-06-17,352,FIFA Women's World Cup Final,South Korea Women,Norway Women,76.36,83.68,0.2591,0.4885,0.2524,0.94,1.4,1,2,2.2,2.15,2.36,0.66,1.05,2.1
2019-06-18,352,FIFA Women's World Cup Final,Italy Women,Brazil Women,76.14,89.47,0.217,0.5799,0.2031,1.1,1.94,0,1,0.99,1.48,0.89,1.29,0.0,1.05
2019-06-18,352,FIFA Women's World Cup Final,Jamaica Women,Australia Women,53.52,92.82,0.0399,0.8889,0.0712,0.76,3.65,1,4,0.54,2.12,0.67,2.35,1.05,3.87
2019-06-19,352,FIFA Women's World Cup Final,Scotland Women,Argentina Women,53.98,39.19,0.5258,0.2312,0.243,1.5,0.9,3,3,1.89,2.99,0.94,0.7,3.15,3.15
2019-06-19,352,FIFA Women's World Cup Final,Japan Women,England Women,90.31,91.92,0.295,0.4557,0.2493,1.07,1.4,0,2,1.41,1.12,0.95,1.42,0.0,1.74
2019-06-20,352,FIFA Women's World Cup Final,Cameroon Women,New Zealand Women,65.84,77.62,0.2603,0.4833,0.2563,0.93,1.37,2,1,2.0,0.49,1.98,1.98,2.1,1.05
2019-06-20,352,FIFA Women's World Cup Final,Netherlands Women,Canada Women,92.68,93.52,0.344,0.3873,0.2687,1.08,1.16,2,1,1.56,1.11,0.85,1.01,2.1,1.05
2019-06-20,352,FIFA Women's World Cup Final,Sweden Women,USA Women,88.45,98.33,0.1706,0.6104,0.219,0.78,1.71,0,2,0.39,1.78,0.66,1.64,0.0,2.1
2019-06-20,352,FIFA Women's World Cup Final,Thailand Women,Chile Women,40.69,46.53,0.3348,0.4467,0.2185,1.44,1.69,0,2,0.26,2.59,0.38,2.85,0.0,1.86
2019-06-22,352,FIFA Women's World Cup Final,Germany Women,Nigeria Women,94.93,69.91,0.9073,0.0927,0.0,2.19,0.43,3,0,1.8,0.56,1.25,0.88,2.84,0.0
2019-06-22,352,FIFA Women's World Cup Final,Norway Women,Australia Women,82.62,92.49,0.3426,0.6574,0.0,1.14,1.74,1,1,1.76,1.14,2.02,1.87,1.05,1.05
2019-06-23,352,FIFA Women's World Cup Final,England Women,Cameroon Women,92.2,69.69,0.846,0.154,0.0,1.78,0.5,3,0,1.53,0.65,1.62,0.52,3.15,0.0
2019-06-23,352,FIFA Women's World Cup Final,France Women,Brazil Women,96.61,89.26,0.7655,0.2345,0.0,1.7,0.72,2,1,2.78,1.3,1.58,0.27,2.1,1.05
